Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG,TS
21.5,88.8,1.0,195.0,0.0,0.0,,2011-01-01 00:15:00
21.1,90.3,0.6,196.7,0.0,0.0,,2011-01-01 00:30:00
21.0,90.8,0.7,187.2,0.0,0.0,,2011-01-01 00:45:00
21.0,90.5,1.1,184.0,0.0,0.0,,2011-01-01 01:40:00
21.0,90.2,1.1,187.4,0.0,0.0,,2011-01-01 01:55:00
20.8,91.0,1.0,195.1,0.0,0.0,,2011-01-01 02:10:00
20.8,91.0,0.5,203.9,0.0,0.0,,2011-01-01 02:25:00
20.5,92.0,0.2,220.4,0.0,0.0,,2011-01-01 03:20:00
20.3,93.2,0.5,203.8,0.0,0.0,,2011-01-01 03:35:00
20.1,94.0,0.4,186.3,0.0,0.0,,2011-01-01 03:50:00
20.1,94.9,0.3,170.4,0.0,0.0,,2011-01-01 04:05:00
19.8,95.7,0.3,204.6,0.0,0.0,,2011-01-01 05:00:00
19.7,96.4,0.4,186.6,0.0,0.0,,2011-01-01 05:15:00
19.9,96.5,0.5,164.1,0.0,0.0,,2011-01-01 05:30:00
20.0,96.6,0.8,165.6,0.0,0.0,,2011-01-01 05:45:00
20.1,96.3,0.6,177.6,0.0,0.0,,2011-01-01 06:40:00
20.1,96.4,1.1,149.0,0.0,0.0,,2011-01-01 06:55:00
20.2,96.2,1.7,149.3,0.0,0.0,,2011-01-01 07:10:00
20.2,96.1,1.9,146.4,0.0,0.0,,2011-01-01 07:25:00
20.2,95.9,1.8,133.9,0.0,0.0,,2011-01-01 08:20:00
20.2,96.2,2.1,153.0,0.0,0.0,,2011-01-01 08:35:00
20.3,96.0,2.2,158.3,0.0,0.0,,2011-01-01 08:50:00
20.2,96.2,1.4,154.3,9.06,0.0,,2011-01-01 09:05:00
20.3,95.9,1.9,143.9,28.41,0.0,,2011-01-01 10:00:00
20.5,95.4,1.7,149.3,53.98,0.0,,2011-01-01 10:15:00
20.9,94.5,1.2,142.7,100.7,0.0,,2011-01-01 10:30:00
21.1,93.5,1.1,131.4,124.6,0.0,,2011-01-01 10:45:00
21.6,92.3,1.4,132.1,123.5,0.0,,2011-01-01 11:40:00
21.7,91.3,1.6,129.5,128.1,0.0,,2011-01-01 11:55:00
22.0,90.7,1.5,138.6,221.7,0.0,,2011-01-01 12:10:00
22.7,88.1,1.8,128.8,254.1,0.0,,2011-01-01 12:25:00
22.8,87.5,2.5,140.6,181.4,0.0,,2011-01-01 13:20:00
23.1,86.8,2.4,139.1,295.1,0.0,,2011-01-01 13:35:00
23.8,84.7,2.8,146.8,379.1,0.0,,2011-01-01 13:50:00
24.4,83.0,2.2,138.8,359.0,0.0,,2011-01-01 14:05:00
24.5,82.0,2.3,143.6,353.6,0.0,,2011-01-01 15:00:00
25.2,80.4,2.3,138.6,433.7,0.0,,2011-01-01 15:15:00
25.3,79.6,1.8,125.0,438.3,0.0,,2011-01-01 15:30:00
25.5,79.0,1.9,130.6,459.8,0.0,,2011-01-01 15:45:00
26.1,77.3,2.7,143.1,688.1,0.0,,2011-01-01 16:40:00
26.5,76.0,2.4,141.1,697.4,0.0,,2011-01-01 16:55:00
26.2,76.3,1.5,151.1,319.9,0.0,,2011-01-01 17:10:00
25.9,76.9,0.5,141.6,257.0,0.0,,2011-01-01 17:25:00
26.4,76.5,1.7,171.2,315.4,0.0,,2011-01-01 18:20:00
26.6,75.5,1.4,163.3,365.0,0.0,,2011-01-01 18:35:00
26.6,75.2,1.8,176.5,338.5,0.0,,2011-01-01 18:50:00
26.7,74.4,0.9,167.8,187.6,0.0,,2011-01-01 19:05:00
27.0,73.2,0.5,127.5,311.0,0.0,,2011-01-01 20:00:00
27.5,72.2,0.3,96.6,373.7,0.0,,2011-01-01 20:15:00
28.1,69.9,0.4,158.2,636.2,0.0,,2011-01-01 20:30:00
28.6,69.0,0.3,286.4,889.0,0.0,,2011-01-01 20:45:00
28.6,68.1,0.3,155.0,328.0,0.0,,2011-01-01 21:40:00
28.2,68.4,0.4,76.9,436.1,0.0,,2011-01-01 21:55:00
28.6,68.4,0.4,170.6,436.4,0.0,,2011-01-01 22:10:00
29.3,66.1,0.3,314.9,758.0,0.0,,2011-01-01 22:25:00
29.1,66.3,0.3,357.5,298.3,0.0,,2011-01-01 23:20:00
28.6,67.9,0.2,97.1,188.2,0.0,,2011-01-01 23:35:00
28.5,67.5,0.2,95.7,281.1,0.0,,2011-01-01 23:50:00
29.2,65.5,0.2,193.0,276.7,0.0,,2011-01-02 00:05:00
28.8,67.6,1.1,200.0,193.8,0.0,,2011-01-02 01:00:00
27.9,70.6,1.0,209.1,137.6,0.0,,2011-01-02 01:15:00
28.0,70.8,0.7,207.3,150.0,0.0,,2011-01-02 01:30:00
28.0,70.4,1.6,197.4,164.8,0.0,,2011-01-02 01:45:00
28.0,70.5,1.5,203.9,199.9,0.0,,2011-01-02 02:40:00
27.9,70.7,1.5,220.8,131.6,0.0,,2011-01-02 02:55:00
28.0,69.7,1.4,192.7,158.8,0.0,,2011-01-02 03:10:00
28.0,69.4,1.3,195.1,136.3,0.0,,2011-01-02 03:25:00
28.1,68.5,2.1,200.3,258.0,0.0,,2011-01-02 04:20:00
28.3,67.6,2.6,184.9,217.0,0.0,,2011-01-02 04:35:00
27.8,67.8,2.9,172.1,52.18,0.0,,2011-01-02 04:50:00
27.5,68.4,2.8,171.0,44.08,0.0,,2011-01-02 05:05:00
