TS,Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG
06/02/2020 19:15,21.91,99.1,3.942,103.8,0.152,28.19,94.8
19/02/2020 16:15,22.82,95.6,2.497,322.6,3.233,21.84,94.8
18/11/2020 16:15,20.16,100,6.047,250,2.336,21.59,94.3
16/01/2020 19:15,23.07,98.8,5.14,191.1,0,21.08,95.1
28/12/2020 15:45,21.22,89.9,3.476,7.853,19.47,20.32,95
07/06/2020 00:00,19.04,99.3,5.321,230.9,0.102,18.54,95.4
19/02/2020 16:30,21.63,98.4,2.874,313.8,4.588,13.72,94.8
07/01/2020 18:30,22.95,95.5,4.175,335.7,5.298,13.46,94.5
25/02/2020 21:15,22.05,91.5,2.994,265.5,0.305,12.95,94.8
04/11/2020 21:15,15.3,99.9,6.242,175.8,0.068,12.95,95.3
16/01/2020 19:30,22.51,99.3,3.279,174.8,0,11.43,95.1
01/01/2020 17:30,22.39,94,4.125,88.9,4.588,10.92,94.3
03/12/2020 14:30,23.03,100,5.814,267.6,20.54,10.16,94.6
03/02/2020 14:15,21.77,98,2.189,277.2,15.08,9.65,95
06/02/2020 19:30,21.92,99.6,2.694,127.7,0,9.65,94.8
28/11/2020 17:45,25.79,80.3,3.6,187.1,3.098,9.65,95.1
07/01/2020 18:00,24.22,91.1,4.103,349.9,12.9,9.4,94.5
09/11/2020 20:15,20.92,100,6.594,222.7,0.085,9.4,95
06/02/2020 19:00,25.07,95,3.457,90.9,0.339,8.89,94.7
03/02/2020 14:00,23.67,95.1,4.172,293.6,17,8.64,94.9
19/02/2020 16:45,21.5,99.1,2.527,275,4.706,8.64,94.7
01/02/2020 13:00,22.85,95.6,4.706,267.9,41.83,8.13,95.1
10/02/2020 06:45,21.41,99.9,1.543,336.9,2.607,7.874,95
20/02/2020 22:45,22.26,98.3,1.663,96.6,0,7.874,94.9
12/11/2020 18:45,22.64,86.3,2.461,241.1,0,7.366,94.6
16/01/2020 19:45,22.24,99.4,2.95,165,0,7.112,95.1
10/02/2020 11:15,21.69,100,1.689,323.3,26.76,7.112,95.2
10/02/2020 19:45,21.32,98.2,4.731,118,0,7.112,94.9
09/11/2020 20:30,20.4,100,5.899,200.9,0.034,6.604,95
16/11/2020 15:45,19.71,94.2,4.417,28.45,287.9,6.604,94.4
01/01/2020 17:15,26.38,89.9,2.773,107.9,6.67,6.35,94.3
27/02/2020 00:45,21.28,100,0.731,302.1,0,6.35,94.6
09/06/2020 16:30,20.07,94.7,5.325,213.3,2.98,6.35,95.2
13/11/2020 16:00,25.45,83.7,3.16,287.9,41.12,6.096,94.5
20/02/2020 22:30,22.93,98.3,3.189,147.1,0,5.588,94.9
11/11/2020 16:45,21.75,99.8,4.249,228.1,8.74,5.588,94.7
