Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG,TS
21.3,99.3,1.2,162.4,0.0,5.4,,2004-01-01 00:15:00
21.0,99.3,0.7,98.3,0.0,2.8,,2004-01-01 00:30:00
20.8,99.5,0.6,105.0,0.0,0.2,,2004-01-01 00:45:00
20.7,99.8,0.3,111.8,0.0,0.0,,2004-01-01 01:40:00
20.6,99.7,0.4,96.0,0.0,0.0,,2004-01-01 01:55:00
20.7,99.9,0.5,104.2,0.0,0.0,,2004-01-01 02:10:00
20.9,100.0,0.4,108.3,0.0,0.0,,2004-01-01 02:25:00
21.0,100.0,0.3,100.3,0.0,0.3,,2004-01-01 03:20:00
21.1,100.0,0.2,78.0,0.0,0.0,,2004-01-01 03:35:00
21.0,100.0,1.3,9.5,0.0,1.3,,2004-01-01 03:50:00
20.2,99.9,2.6,350.4,0.0,4.7,,2004-01-01 04:05:00
20.1,100.0,1.2,326.7,0.0,2.0,,2004-01-01 05:00:00
20.1,100.0,0.6,300.1,0.0,2.0,,2004-01-01 05:15:00
20.1,100.0,0.3,4.2,0.0,1.2,,2004-01-01 05:30:00
20.1,100.0,0.2,36.6,0.0,1.4,,2004-01-01 05:45:00
20.1,100.0,0.2,84.9,0.0,0.6,,2004-01-01 06:40:00
20.2,100.0,0.2,73.6,0.0,0.1,,2004-01-01 06:55:00
20.2,100.0,0.2,92.7,0.0,0.0,,2004-01-01 07:10:00
20.2,100.0,0.2,72.4,0.0,0.0,,2004-01-01 07:25:00
20.2,100.0,0.2,92.9,0.0,0.1,,2004-01-01 08:20:00
20.3,100.0,0.2,120.2,0.0,0.0,,2004-01-01 08:35:00
20.3,100.0,0.2,134.7,0.0,0.0,,2004-01-01 08:50:00
20.3,100.0,0.2,110.5,3.76,0.0,,2004-01-01 09:05:00
20.4,100.0,0.2,115.7,8.84,0.0,,2004-01-01 10:00:00
20.4,100.0,0.2,97.3,15.41,0.0,,2004-01-01 10:15:00
20.5,100.0,0.2,105.9,30.66,0.1,,2004-01-01 10:30:00
20.6,100.0,0.2,83.7,59.04,0.0,,2004-01-01 10:45:00
20.9,100.0,0.2,87.4,102.3,0.0,,2004-01-01 11:40:00
21.1,100.0,0.2,85.0,132.2,0.0,,2004-01-01 11:55:00
21.2,100.0,0.2,96.8,174.0,0.0,,2004-01-01 12:10:00
21.3,100.0,0.2,99.6,143.1,0.0,,2004-01-01 12:25:00
21.3,100.0,0.2,95.5,129.7,0.0,,2004-01-01 13:20:00
21.3,100.0,0.2,98.4,102.0,0.0,,2004-01-01 13:35:00
21.3,99.9,0.2,151.4,128.6,0.0,,2004-01-01 13:50:00
21.2,99.5,0.2,268.1,94.5,0.0,,2004-01-01 14:05:00
21.2,99.6,0.9,191.5,72.3,0.0,,2004-01-01 15:00:00
21.1,99.5,1.7,154.6,141.3,0.1,,2004-01-01 15:15:00
21.4,98.8,2.3,157.8,235.4,0.0,,2004-01-01 15:30:00
21.9,95.5,3.3,149.8,323.8,0.1,,2004-01-01 15:45:00
22.1,94.6,3.5,146.3,316.2,0.0,,2004-01-01 16:40:00
22.5,92.4,3.6,132.4,393.9,0.0,,2004-01-01 16:55:00
22.3,91.0,3.5,131.6,201.6,0.0,,2004-01-01 17:10:00
22.0,90.4,3.6,130.4,162.3,0.0,,2004-01-01 17:25:00
21.9,91.5,3.2,130.5,136.1,0.0,,2004-01-01 18:20:00
21.4,95.8,2.1,118.9,150.7,0.6,,2004-01-01 18:35:00
21.2,97.0,1.7,123.4,137.4,0.1,,2004-01-01 18:50:00
21.4,96.2,2.2,132.5,154.1,0.0,,2004-01-01 19:05:00
21.6,95.5,2.4,125.5,206.5,0.1,,2004-01-01 20:00:00
21.9,95.7,2.2,122.3,318.2,0.2,,2004-01-01 20:15:00
22.0,95.1,3.2,122.5,499.9,0.2,,2004-01-01 20:30:00
22.6,93.4,3.7,128.3,711.0,0.0,,2004-01-01 20:45:00
22.9,90.9,3.7,140.7,517.2,0.0,,2004-01-01 21:40:00
23.1,86.5,3.8,139.5,624.7,0.0,,2004-01-01 21:55:00
23.7,84.3,3.4,137.0,603.6,0.0,,2004-01-01 22:10:00
23.2,84.8,3.6,135.2,351.7,0.0,,2004-01-01 22:25:00
23.0,85.7,3.4,138.5,224.8,0.0,,2004-01-01 23:20:00
23.0,85.9,3.0,129.9,199.6,0.0,,2004-01-01 23:35:00
23.0,86.0,2.5,122.9,169.9,0.0,,2004-01-01 23:50:00
23.4,83.5,3.1,133.2,349.1,0.0,,2004-01-02 00:05:00
23.9,79.5,3.4,134.6,258.4,0.0,,2004-01-02 01:00:00
23.8,78.2,4.0,134.9,269.4,0.0,,2004-01-02 01:15:00
24.0,76.7,4.1,143.9,302.1,0.0,,2004-01-02 01:30:00
23.5,77.9,3.8,155.4,108.0,0.0,,2004-01-02 01:45:00
22.8,81.1,3.7,171.9,54.19,0.0,,2004-01-02 02:40:00
22.7,80.3,4.2,160.7,57.73,0.0,,2004-01-02 02:55:00
22.8,78.1,4.5,159.7,182.1,0.0,,2004-01-02 03:10:00
22.9,77.3,4.7,157.2,216.0,0.0,,2004-01-02 03:25:00
22.6,75.5,5.3,152.6,161.4,0.0,,2004-01-02 04:20:00
22.7,74.3,5.0,146.2,198.9,0.0,,2004-01-02 04:35:00
22.5,74.8,4.7,146.7,121.6,0.0,,2004-01-02 04:50:00
22.3,74.8,3.9,163.6,105.4,0.0,,2004-01-02 05:05:00
22.0,75.2,5.4,154.3,117.5,0.0,,2004-01-02 06:00:00
21.6,76.0,4.7,153.0,56.75,0.0,,2004-01-02 06:15:00
21.3,77.0,3.9,151.9,37.65,0.0,,2004-01-02 06:30:00
21.1,77.0,4.1,152.0,45.72,0.0,,2004-01-02 06:45:00
21.0,77.5,3.9,153.6,26.2,0.0,,2004-01-02 07:40:00
20.8,78.7,3.2,152.1,3.68,0.0,,2004-01-02 07:55:00
20.7,78.6,3.6,151.0,0.0,0.0,,2004-01-02 08:10:00
20.5,78.8,3.2,150.6,0.0,0.0,,2004-01-02 08:25:00
20.4,79.8,3.0,149.3,0.0,0.0,,2004-01-02 09:20:00
20.2,80.4,3.2,150.3,0.0,0.0,,2004-01-02 09:35:00
20.0,80.5,3.7,146.6,0.0,0.0,,2004-01-02 09:50:00
19.8,80.9,3.1,151.4,0.0,0.0,,2004-01-02 10:05:00
19.6,81.2,3.3,149.2,0.0,0.0,,2004-01-02 11:00:00
19.4,81.5,3.1,143.1,0.0,0.0,,2004-01-02 11:15:00
19.3,82.1,2.7,147.9,0.0,0.0,,2004-01-02 11:30:00
19.3,81.5,3.0,141.8,0.0,0.0,,2004-01-02 11:45:00
19.3,82.1,2.7,143.3,0.0,0.0,,2004-01-02 12:40:00
19.3,81.7,3.1,142.3,0.0,0.0,,2004-01-02 12:55:00
19.2,83.3,2.5,152.0,0.0,0.0,,2004-01-02 13:10:00
19.1,83.7,2.8,145.8,0.0,0.0,,2004-01-02 13:25:00
19.0,83.2,2.7,152.2,0.0,0.0,,2004-01-02 14:20:00
19.0,83.0,2.7,158.1,0.0,0.0,,2004-01-02 14:35:00
18.9,83.3,2.3,157.1,0.0,0.0,,2004-01-02 14:50:00
18.9,83.2,2.2,163.4,0.0,0.0,,2004-01-02 15:05:00
18.8,83.6,1.8,170.4,0.0,0.0,,2004-01-02 00:00:00
18.7,84.8,1.7,169.2,0.0,0.0,,2004-01-02 00:15:00
18.6,85.3,1.6,169.5,0.0,0.0,,2004-01-02 00:30:00
18.5,86.3,1.1,174.0,0.0,0.0,,2004-01-02 00:45:00
18.5,86.9,1.1,172.3,0.0,0.0,,2004-01-02 01:40:00
18.5,87.4,1.3,167.7,0.0,0.0,,2004-01-02 01:55:00
18.5,87.6,1.4,165.5,0.0,0.0,,2004-01-02 02:10:00
18.5,87.3,1.2,167.1,0.0,0.0,,2004-01-02 02:25:00
18.4,87.7,1.8,155.2,0.0,0.0,,2004-01-02 03:20:00
18.4,88.2,1.7,153.7,0.0,0.0,,2004-01-02 03:35:00
18.4,88.2,1.6,160.5,0.0,0.0,,2004-01-02 03:50:00
18.4,88.0,1.5,156.4,0.0,0.0,,2004-01-02 04:05:00
18.4,87.4,1.2,166.5,0.0,0.0,,2004-01-02 05:00:00
18.5,87.2,1.5,151.5,0.0,0.0,,2004-01-02 05:15:00
18.5,86.6,1.6,145.6,0.0,0.0,,2004-01-02 05:30:00
18.6,86.1,1.0,166.4,0.0,0.0,,2004-01-02 05:45:00
18.6,86.1,1.3,170.2,0.0,0.0,,2004-01-02 06:40:00
18.7,85.9,1.8,150.4,0.0,0.0,,2004-01-02 06:55:00
18.7,85.8,1.4,158.0,0.0,0.0,,2004-01-02 07:10:00
18.7,86.1,1.6,153.3,0.0,0.0,,2004-01-02 07:25:00
18.6,86.5,1.6,150.5,0.0,0.0,,2004-01-02 08:20:00
18.6,86.7,1.5,156.7,0.0,0.0,,2004-01-02 08:35:00
18.7,86.1,1.7,154.6,0.0,0.0,,2004-01-02 08:50:00
18.6,86.5,2.0,146.4,4.0,0.0,,2004-01-02 09:05:00
18.7,85.6,2.2,132.8,10.45,0.0,,2004-01-02 10:00:00
18.8,84.9,2.1,132.7,22.51,0.0,,2004-01-02 10:15:00
18.9,83.7,2.2,139.4,28.71,0.0,,2004-01-02 10:30:00
19.0,83.0,2.3,137.1,36.53,0.0,,2004-01-02 10:45:00
19.1,83.3,2.0,139.0,37.93,0.0,,2004-01-02 11:40:00
19.0,83.7,2.1,139.6,39.03,0.0,,2004-01-02 11:55:00
19.0,84.3,2.6,129.8,71.2,0.0,,2004-01-02 12:10:00
18.8,87.0,3.1,132.3,104.7,0.0,,2004-01-02 12:25:00
18.7,88.6,2.6,133.5,121.2,0.0,,2004-01-02 13:20:00
18.9,87.9,3.4,134.4,158.5,0.0,,2004-01-02 13:35:00
19.0,87.9,3.3,129.9,165.0,0.0,,2004-01-02 13:50:00
19.1,87.8,3.5,132.3,181.0,0.0,,2004-01-02 14:05:00
19.4,87.3,3.3,132.3,260.3,0.0,,2004-01-02 15:00:00
19.5,87.1,3.5,139.2,275.1,0.0,,2004-01-02 15:15:00
19.6,85.9,3.4,137.8,257.8,0.0,,2004-01-02 15:30:00
19.9,85.8,3.1,130.9,221.3,0.0,,2004-01-02 15:45:00
19.9,84.9,3.4,131.3,296.1,0.0,,2004-01-02 16:40:00
19.9,85.9,3.4,141.1,305.6,0.0,,2004-01-02 16:55:00
19.3,87.9,3.8,143.2,292.9,0.0,,2004-01-02 17:10:00
19.7,87.4,3.4,140.8,336.5,0.0,,2004-01-02 17:25:00
19.5,88.8,3.8,142.0,312.3,0.0,,2004-01-02 18:20:00
19.3,90.9,3.8,148.3,331.3,0.0,,2004-01-02 18:35:00
19.4,90.7,3.8,145.7,339.8,0.0,,2004-01-02 18:50:00
19.3,92.1,4.3,143.7,352.0,0.0,,2004-01-02 19:05:00
19.4,92.9,4.0,143.6,459.8,0.0,,2004-01-02 20:00:00
19.8,93.1,3.1,145.0,412.5,0.0,,2004-01-02 20:15:00
19.8,92.4,3.6,147.6,389.6,0.0,,2004-01-02 20:30:00
20.2,88.7,3.2,141.2,337.4,0.0,,2004-01-02 20:45:00
19.7,92.9,3.3,164.1,355.6,0.0,,2004-01-02 21:40:00
19.9,93.3,3.2,153.7,373.2,0.0,,2004-01-02 21:55:00
19.9,93.7,3.2,155.8,288.1,0.0,,2004-01-02 22:10:00
19.9,94.5,3.6,152.2,443.8,0.0,,2004-01-02 22:25:00
20.0,93.1,4.0,148.2,419.9,0.0,,2004-01-02 23:20:00
20.6,90.5,3.8,140.8,486.7,0.0,,2004-01-02 23:35:00
20.6,89.5,3.6,141.6,391.9,0.0,,2004-01-02 23:50:00
20.9,87.2,3.4,137.9,355.5,0.0,,2004-01-03 00:05:00
20.5,89.6,3.8,141.6,211.6,0.0,,2004-01-03 01:00:00
20.0,91.2,3.4,138.8,170.3,0.0,,2004-01-03 01:15:00
20.2,89.7,2.8,137.5,165.1,0.0,,2004-01-03 01:30:00
20.6,87.5,2.7,142.7,163.2,0.0,,2004-01-03 01:45:00
21.0,83.5,3.4,150.0,152.6,0.0,,2004-01-03 02:40:00
20.9,83.3,3.0,140.9,92.2,0.0,,2004-01-03 02:55:00
20.9,82.6,3.1,159.5,63.42,0.0,,2004-01-03 03:10:00
20.7,81.5,3.4,152.1,73.3,0.0,,2004-01-03 03:25:00
20.9,80.3,3.1,158.0,70.5,0.0,,2004-01-03 04:20:00
20.7,80.5,3.7,139.5,71.0,0.0,,2004-01-03 04:35:00
21.0,79.2,3.2,152.0,80.7,0.0,,2004-01-03 04:50:00
21.1,76.6,3.6,150.2,91.1,0.0,,2004-01-03 05:05:00
21.0,76.2,3.4,150.4,48.07,0.0,,2004-01-03 06:00:00
20.9,76.3,3.4,153.3,36.91,0.0,,2004-01-03 06:15:00
20.4,78.1,3.3,167.2,21.82,0.0,,2004-01-03 06:30:00
20.2,79.2,3.5,157.9,14.15,0.0,,2004-01-03 06:45:00
20.1,77.8,3.8,149.8,7.27,0.0,,2004-01-03 07:40:00
19.9,78.4,3.3,152.9,0.0,0.0,,2004-01-03 07:55:00
19.5,80.7,3.1,161.9,0.0,0.0,,2004-01-03 08:10:00
19.3,80.9,2.6,156.9,0.0,0.0,,2004-01-03 08:25:00
19.1,81.4,3.0,146.1,0.0,0.0,,2004-01-03 09:20:00
19.0,80.9,3.8,147.5,0.0,0.0,,2004-01-03 09:35:00
18.7,81.8,3.7,147.9,0.0,0.0,,2004-01-03 09:50:00
18.4,84.0,2.9,147.7,0.0,0.0,,2004-01-03 10:05:00
18.4,83.7,2.9,146.4,0.0,0.0,,2004-01-03 11:00:00
18.3,82.8,2.9,143.9,0.0,0.0,,2004-01-03 11:15:00
18.2,82.4,2.9,141.1,0.0,0.0,,2004-01-03 11:30:00
18.2,80.0,3.8,130.8,0.0,0.0,,2004-01-03 11:45:00
18.0,79.7,4.0,132.1,0.0,0.0,,2004-01-03 12:40:00
17.7,81.3,3.5,133.9,0.0,0.0,,2004-01-03 12:55:00
17.6,81.5,3.5,132.5,0.0,0.0,,2004-01-03 13:10:00
17.4,82.9,2.9,134.5,0.0,0.0,,2004-01-03 13:25:00
17.2,84.5,2.2,134.0,0.0,0.0,,2004-01-03 14:20:00
17.0,85.9,1.6,118.5,0.0,0.0,,2004-01-03 14:35:00
16.7,87.3,2.1,130.4,0.0,0.0,,2004-01-03 14:50:00
17.0,85.0,2.5,132.0,0.0,0.0,,2004-01-03 15:05:00
17.0,84.3,2.3,142.1,0.0,0.0,,2004-01-03 00:00:00
17.0,84.4,2.8,144.6,0.0,0.0,,2004-01-03 00:15:00
17.2,83.4,3.2,142.4,0.0,0.0,,2004-01-03 00:30:00
17.1,83.5,2.9,141.9,0.0,0.0,,2004-01-03 00:45:00
17.1,83.3,2.5,138.2,0.0,0.0,,2004-01-03 01:40:00
17.0,83.3,2.5,136.3,0.0,0.0,,2004-01-03 01:55:00
17.2,83.2,3.0,138.2,0.0,0.0,,2004-01-03 02:10:00
17.2,82.7,3.2,135.0,0.0,0.0,,2004-01-03 02:25:00
17.3,82.9,3.6,137.2,0.0,0.0,,2004-01-03 03:20:00
17.3,82.6,3.6,130.2,0.0,0.0,,2004-01-03 03:35:00
17.3,82.7,3.2,128.8,0.0,0.0,,2004-01-03 03:50:00
17.3,82.4,3.2,133.2,0.0,0.0,,2004-01-03 04:05:00
17.3,81.3,3.0,130.4,0.0,0.0,,2004-01-03 05:00:00
17.4,80.8,2.9,135.2,0.0,0.0,,2004-01-03 05:15:00
17.3,81.6,2.4,134.8,0.0,0.0,,2004-01-03 05:30:00
17.2,81.9,2.5,130.5,0.0,0.0,,2004-01-03 05:45:00
17.2,82.3,2.2,131.6,0.0,0.0,,2004-01-03 06:40:00
17.2,82.3,2.1,122.3,0.0,0.0,,2004-01-03 06:55:00
17.2,81.7,1.9,116.9,0.0,0.0,,2004-01-03 07:10:00
17.2,81.4,2.0,124.8,0.0,0.0,,2004-01-03 07:25:00
17.1,82.2,2.0,132.3,0.0,0.0,,2004-01-03 08:20:00
17.0,84.5,1.6,147.3,0.0,0.0,,2004-01-03 08:35:00
16.9,85.8,1.5,150.3,0.0,0.0,,2004-01-03 08:50:00
16.9,85.3,1.4,137.8,10.61,0.0,,2004-01-03 09:05:00
17.0,85.4,1.6,136.5,27.11,0.0,,2004-01-03 10:00:00
17.2,84.7,1.3,140.9,41.61,0.0,,2004-01-03 10:15:00
17.3,83.6,1.6,134.6,52.0,0.0,,2004-01-03 10:30:00
17.5,82.9,1.6,135.7,72.8,0.0,,2004-01-03 10:45:00
17.8,81.6,1.6,137.6,95.1,0.0,,2004-01-03 11:40:00
18.1,80.4,1.8,127.3,133.0,0.0,,2004-01-03 11:55:00
18.6,78.4,2.4,112.7,215.4,0.0,,2004-01-03 12:10:00
19.2,75.4,2.9,117.9,345.2,0.0,,2004-01-03 12:25:00
20.0,72.0,3.2,113.4,564.2,0.0,,2004-01-03 13:20:00
20.6,70.2,3.5,109.7,712.0,0.0,,2004-01-03 13:35:00
20.9,69.0,4.1,119.4,661.9,0.0,,2004-01-03 13:50:00
20.5,70.5,4.1,120.5,398.7,0.0,,2004-01-03 14:05:00
20.9,70.3,3.8,125.1,377.1,0.0,,2004-01-03 15:00:00
21.1,70.2,3.5,128.1,507.5,0.0,,2004-01-03 15:15:00
21.7,68.3,3.6,123.4,579.6,0.0,,2004-01-03 15:30:00
22.4,67.5,3.2,126.1,745.0,0.0,,2004-01-03 15:45:00
22.6,66.6,2.7,122.6,577.0,0.0,,2004-01-03 16:40:00
23.2,65.8,2.5,116.0,765.0,0.0,,2004-01-03 16:55:00
23.5,65.7,2.6,131.9,715.0,0.0,,2004-01-03 17:10:00
23.7,65.5,2.2,134.9,663.2,0.0,,2004-01-03 17:25:00
24.6,63.3,2.3,139.8,818.0,0.0,,2004-01-03 18:20:00
24.4,63.6,2.8,150.7,733.0,0.0,,2004-01-03 18:35:00
24.7,63.1,2.9,128.1,786.0,0.0,,2004-01-03 18:50:00
25.2,62.2,2.5,119.2,976.0,0.0,,2004-01-03 19:05:00
25.8,61.8,2.9,132.5,1250.0,0.0,,2004-01-03 20:00:00
25.8,60.0,2.7,116.7,1127.0,0.0,,2004-01-03 20:15:00
25.7,59.6,2.6,122.8,923.0,0.0,,2004-01-03 20:30:00
25.6,60.6,2.3,123.8,466.2,0.0,,2004-01-03 20:45:00
25.6,60.6,2.7,134.6,587.8,0.0,,2004-01-03 21:40:00
25.7,60.6,2.5,133.3,461.7,0.0,,2004-01-03 21:55:00
25.6,60.7,2.5,133.1,410.1,0.0,,2004-01-03 22:10:00
25.7,61.3,2.7,129.8,533.9,0.0,,2004-01-03 22:25:00
26.3,59.5,2.3,113.7,693.8,0.0,,2004-01-03 23:20:00
26.5,58.9,2.1,134.3,569.4,0.0,,2004-01-03 23:35:00
26.2,59.8,2.4,147.4,311.8,0.0,,2004-01-03 23:50:00
26.3,60.3,2.4,137.9,532.1,0.0,,2004-01-04 00:05:00
26.4,58.9,3.0,139.9,382.3,0.0,,2004-01-04 01:00:00
26.0,60.0,2.3,140.3,215.3,0.0,,2004-01-04 01:15:00
25.5,60.8,3.3,142.0,170.9,0.0,,2004-01-04 01:30:00
25.7,60.2,3.4,139.1,293.5,0.0,,2004-01-04 01:45:00
25.7,60.0,3.4,145.7,223.9,0.0,,2004-01-04 02:40:00
25.9,60.0,3.1,142.1,246.0,0.0,,2004-01-04 02:55:00
26.0,58.8,3.9,146.4,374.3,0.0,,2004-01-04 03:10:00
25.8,59.1,3.4,138.3,173.2,0.0,,2004-01-04 03:25:00
25.3,61.6,4.2,147.4,158.9,0.0,,2004-01-04 04:20:00
24.7,63.9,3.7,143.0,111.7,0.0,,2004-01-04 04:35:00
