TS,Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG
01/01/2019 00:00,23.53,74.4,2.37,123.7,0,0,94.8
01/01/2019 00:15,23.3,75.94,1.952,113.5,0,0,94.8
01/01/2019 00:30,22.98,77.3,1.881,134.4,0,0,94.8
01/01/2019 00:45,22.93,76.68,2.488,141,0,0,94.8
01/01/2019 01:00,22.8,77.4,2.301,145.4,0,0,94.8
01/01/2019 01:15,22.64,78.21,2.109,148.3,0,0,94.8
01/01/2019 01:30,22.37,79.13,2.181,155.6,0,0,94.8
01/01/2019 01:45,22.01,80.9,2.036,152.1,0,0,94.8
01/01/2019 02:00,21.75,82.2,1.892,155.5,0,0,94.8
01/01/2019 02:15,21.71,79.54,2.165,131.5,0,0,94.7
01/01/2019 02:30,22.25,79.27,2.779,121.4,0,0,94.7
01/01/2019 02:45,22.14,80,2.654,116.6,0,0,94.7
01/01/2019 03:00,21.76,83.1,0.759,125.6,0,0,94.8
01/01/2019 03:15,21.56,83.3,0.884,133.2,0,0,94.8
01/01/2019 03:30,21.31,84.2,0.285,98.8,0,0,94.8
01/01/2019 03:45,21.18,84.9,0.457,35.94,0,0,94.8
01/01/2019 04:00,21.09,84.9,0.892,77.21,0,0,94.8
01/01/2019 04:15,20.79,87.3,1.288,82.6,0,0,94.8
01/01/2019 04:30,20.49,88.1,0.954,85.1,0,0,94.8
01/01/2019 04:45,20.39,88.6,0.8,83.9,0,0,94.8
01/01/2019 05:00,20.2,89.6,0.285,85.8,0,0,94.9
01/01/2019 05:15,20.04,91.2,0.499,239.4,0.05,0,94.9
01/01/2019 05:30,20.04,91,0,219.3,3.326,0,94.9
01/01/2019 05:45,20.13,90.6,0.235,3.035,13.55,0,94.9
01/01/2019 06:00,20.14,90.7,0.431,247.5,38.77,0,95
01/01/2019 06:15,20.68,88.5,0.322,242.6,92.2,0,95
01/01/2019 06:30,21.15,87.5,0.376,306.6,108.9,0,95
01/01/2019 06:45,21.32,87.2,0.84,314.6,112.7,0,95.1
01/01/2019 07:00,21.41,87.2,0.948,316.7,101.4,0,95.1
01/01/2019 07:15,21.57,86,0.624,319.7,103.1,0,95.1
01/01/2019 07:30,22.24,81.4,0.674,59.19,253,0,95.1
01/01/2019 07:45,23.1,79.4,0.507,97.7,234.7,0,95.1
01/01/2019 08:00,23.82,76.75,0.985,270,391.1,0,95.1
01/01/2019 08:15,24.33,76.82,1.121,230.7,467.1,0,95.1
01/01/2019 08:30,25.39,71.17,1.058,343.9,571.9,0,95.1
01/01/2019 08:45,26.24,71.85,1.199,25.1,584.6,0,95.2
01/01/2019 09:00,26.53,69.78,1.627,355.3,501.3,0,95.2
01/01/2019 09:15,27,71.51,1.864,344,517.1,0,95.2
01/01/2019 09:30,27.82,68.55,1.697,349.1,434,0,95.2
01/01/2019 09:45,27.73,65.53,2.8,309.2,635.3,0,95.2
01/01/2019 10:00,28.27,64.17,2.243,300.6,776.3,0,95.2
01/01/2019 10:15,28.33,64.91,1.567,271.5,472.5,0,95.2
01/01/2019 10:30,28.59,66.07,1.266,259.5,463.7,0,95.2
01/01/2019 10:45,29.1,64.57,1.608,259.1,655.9,0,95.2
01/01/2019 11:00,28.87,61.79,1.684,278.5,576.4,0,95.1
01/01/2019 11:15,29.11,63.38,2.032,281.6,520.5,0,95.1
01/01/2019 11:30,30.18,64.68,2.394,283.1,1150,0,95.1
01/01/2019 11:45,29.75,61.34,2.157,283.4,512.5,0,95.1
01/01/2019 12:00,29.83,60.29,1.899,290,490.2,0,95.1
01/01/2019 12:15,29.43,63.79,2.232,293.4,286.1,0,95.1
01/01/2019 12:30,30.08,59.81,2.079,296.7,1081,0,95.1
01/01/2019 12:45,31.05,59.54,2.346,299.1,737.7,0,95
01/01/2019 13:00,29.38,66,3.086,235.9,408.1,0,95
01/01/2019 13:15,29.31,62.74,3.271,229.5,858,0,95
01/01/2019 13:30,29.69,67.36,2.47,256,486.6,0,95
01/01/2019 13:45,28.64,68.62,2.644,255.9,400.5,0,95
